Desc	Data	NLSE	TCE	RSQ	WFF	
"Champion10"	"Testing"	0.0004006532180899	0.0	0.9995993467819	"y = 0.0002313800522106+(-4.884053143252E-05*max((max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(A)))) , abs(A)) % (abs(fraction(x0)) - A)) , (ninteger(B) % abs(fraction(x0)))))+(1.999888479624*avg(tan(x0) , A))+(0.0005237478106439*avg(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))));"	
"Champion11"	"Training"	0.0002176283975643	0.0	0.9997823716024	"y = 9.831143852697E-05+(3.999819912111*min(avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)))))+(6.363355941792E-06*max(tan(x0) , abs(A)))+(0.0003220735563211*max(cos(B) , cos(A)));"	
"Champion11"	"Testing"	0.0004003762318218	0.0	0.9995996237682	"y = 9.831143852697E-05+(3.999819912111*min(avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)))))+(6.363355941792E-06*max(tan(x0) , abs(A)))+(0.0003220735563211*max(cos(B) , cos(A)));"	
"Champion12"	"Training"	0.0002176304695827	0.0	0.9997823695304	"y = 0.0003936611931733+(0.0*((max((max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(A)))) , abs(A)) % (abs(fraction(x0)) - A)) , (ninteger(B) % abs(fraction(x0)))) % (abs(fraction(x0)) - A)) - (max((max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(A)))) , abs(A)) % (abs(fraction(x0)) - A)) , (ninteger(B) % abs(fraction(x0)))) % (abs(fraction(x0)) - A))))+(-9.204863848534E-06*avg(((if (avg(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , ((ninteger(B) % abs(fraction(x0))) % (abs(fraction(x0)) - A))) == (B + A)) {B} else {(A + A)}) % (abs(fraction(x0)) - A)) , min(avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , min(((ninteger(B) % abs(fraction(x0))) % (abs(fraction(x0)) - A)) , min(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))))))+(3.999837180113*avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))));"	
"Champion12"	"Testing"	0.0003999911745288	0.0	0.9996000088255	"y = 0.0003936611931733+(0.0*((max((max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(A)))) , abs(A)) % (abs(fraction(x0)) - A)) , (ninteger(B) % abs(fraction(x0)))) % (abs(fraction(x0)) - A)) - (max((max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(A)))) , abs(A)) % (abs(fraction(x0)) - A)) , (ninteger(B) % abs(fraction(x0)))) % (abs(fraction(x0)) - A))))+(-9.204863848534E-06*avg(((if (avg(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , ((ninteger(B) % abs(fraction(x0))) % (abs(fraction(x0)) - A))) == (B + A)) {B} else {(A + A)}) % (abs(fraction(x0)) - A)) , min(avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , min(((ninteger(B) % abs(fraction(x0))) % (abs(fraction(x0)) - A)) , min(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))))))+(3.999837180113*avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))));"	
"Champion13"	"Training"	0.0002176465035852	0.0	0.9997823534964	"y = 0.0001597985897827+(0.0004880467583087*product(((-A)*(-A)) , abs(A)))+(-3.698989017899E-05*min(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , max(ninteger(A) , abs(A))))+(3.999851245799*avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))));"	
"Champion13"	"Testing"	0.0004000861690774	0.0	0.9995999138309	"y = 0.0001597985897827+(0.0004880467583087*product(((-A)*(-A)) , abs(A)))+(-3.698989017899E-05*min(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , max(ninteger(A) , abs(A))))+(3.999851245799*avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))));"	
"Champion14"	"Training"	0.0002176563744832	0.0	0.9997823436255	"y = 0.0003673350911021+(3.499850920336*min(avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)))))+(-0.4999626872156*max(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , abs(A)))+(1.000000000001*avg(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))));"	
"Champion14"	"Testing"	0.0004001004801742	0.0	0.9995998995198	"y = 0.0003673350911021+(3.499850920336*min(avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)))))+(-0.4999626872156*max(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , abs(A)))+(1.000000000001*avg(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))));"	
"Champion15"	"Training"	0.0002176827609726	0.0	0.999782317239	"y = -2.429853951429E-05+(3.999833155345*min(avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)))))+(0.0*max(min(max(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , abs(A)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , min(avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))))))+(0.0005276858267026*max(cos(A) , cos(product(((-A)*(-A)) , abs(A)))));"	
"Champion15"	"Testing"	0.0003991521169775	0.0	0.999600847883	"y = -2.429853951429E-05+(3.999833155345*min(avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)))))+(0.0*max(min(max(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , abs(A)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , min(avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))))))+(0.0005276858267026*max(cos(A) , cos(product(((-A)*(-A)) , abs(A)))));"	
